employee_id,fname,lname,country_loc,port_loc,email,subsidiary,contracted_by,title
135,Holly,Garner,Portugal,Vila Real De S Antonio,h.garner@Wavez-zing.pt,Wavez-zing,HYDE-SHIPPING,Longshoreman
682,Melanie,Craig,Haiti,Port Au Prince,m.craig@Freighterzz.ht,Freighterzz,CROWLEY,Dockworker
959,Brian,Diaz,Svalbard,Ny Alesund,b.diaz@Spt-septum.sj,Spt-septum,West-European-Container-Lines,Marine Pilot
479,Charles,Munoz,Netherlands,Zaandam,c.munoz@Freighterzz.nl,Freighterzz,Korea Marine Transport Co. Ltd.,Marine Pilot
500,Tracy,Newton,Saint Kitts and Nevis,Basseterre,t.newton@Spt-septum.kn,Spt-septum,Nippon-Yusen-Kabushiki-Kaisha-Line,Dockworker
114,Dustin,Kelly,Greece,Yithion,d.kelly@Freighterzz.gr,Freighterzz,HAMBURG-SUD,Marine Pilot
509,Danny,Golden,Aruba,Sint Nicolaas Baai,d.golden@Spt-septum.aw,Spt-septum,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Marine Pilot
205,Travis,Bailey,Greece,Yithion,t.bailey@Wavez-zing.gr,Wavez-zing,Hoegh-Autoliners,Marine Pilot
918,Anthony,Townsend,Croatia,Zaliv Rasa,a.townsend@Wavez-zing.hr,Wavez-zing,Mediterranean Shipping Company,Dockworker
502,Jennifer,Lee,Caribbean Netherlands,Salina,j.lee@Spt-septum.bq,Spt-septum,Nippon-Yusen-Kabushiki-Kaisha-Line,Marine Pilot
33,Jill,Clark,Aruba,Sint Nicolaas Baai,j.clark@Spt-septum.aw,Spt-septum,HAMBURG-SUD,Harbor Master
35,Aaron,Joseph,Turks and Caicos Islands,Providenciales,a.joseph@Spt-septum.tc,Spt-septum,COSCO-Container-Lines,Longshoreman
856,Aaron,Johnson,Poland,Ustka,a.johnson@Spt-septum.pl,Spt-septum,HORIZON-LINES,Dockworker
291,Jamie,Harris,Bulgaria,Varna,j.harris@Wavez-zing.bg,Wavez-zing,Nippon-Yusen-Kabushiki-Kaisha-Line,Port Engineer
605,Willie,Freeman,Colombia,Turbo,w.freeman@Freighterzz.co,Freighterzz,EVERGREEN-LINE,Marine Superintendent
218,Kelly,Hayes,Aruba,Sint Nicolaas Baai,k.hayes@Wavez-zing.aw,Wavez-zing,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Dockworker
320,Debra,Henderson,Morocco,Tangier-Mediterranean,d.henderson@Freighterzz.ma,Freighterzz,AMERICAN-PRESIDENT-LINES,Stevedore
75,Bryan,Foster,Portugal,Vila Real De S Antonio,b.foster@Wavez-zing.pt,Wavez-zing,Nippon-Yusen-Kabushiki-Kaisha-Line,Stevedore
495,Nathan,Patterson,Saint Lucia,Vieux Fort,n.patterson@Freighterzz.lc,Freighterzz,Compagnie Maritime d Affretement Compagnie Generale Maritime ,Longshoreman
854,Jose,Stevenson,Antigua and Barbuda,St Johns,j.stevenson@Freighterzz.ag,Freighterzz,CROWLEY,Marine Pilot
974,Lisa,Clayton,Portugal,Vila Real De S Antonio,l.clayton@Spt-septum.pt,Spt-septum,ARKAS CONTAINER TRANSPORT S.A.,Marine Pilot
637,Matthew,Todd,Faroe Islands,Vestmanna,m.todd@Spt-septum.fo,Spt-septum,United Arab Shipping Company Co.(S.A.G),Stevedore
215,Barbara,Cole,Turks and Caicos Islands,Providenciales,b.cole@Freighterzz.tc,Freighterzz,HANJIN-SHIPPING-CO-LTD,Harbor Master
621,Lori,Cabrera,Bermuda,St George,l.cabrera@Wavez-zing.bm,Wavez-zing,ZIM Integrated Shipping Services Ltd,Longshoreman
177,Erik,Moreno,United States,Brooklyn,e.moreno@Spt-septum.com,Spt-septum,Hafiz-Darya-Shipping-Lines,Marine Pilot
736,Kristin,Shields,United States,Brooklyn,k.shields@Freighterzz.com,Freighterzz,GREAT-WHITE-FLEET,Harbor Master
530,Linda,Boyd,Grenada,St George's,l.boyd@Freighterzz.gd,Freighterzz,HYDE-SHIPPING,Stevedore
185,Kelsey,White,Haiti,Port Au Prince,k.white@Freighterzz.ht,Freighterzz,ZIM Integrated Shipping Services Ltd,Marine Superintendent
838,Gregory,Gregory,Bahamas,South Riding Point,g.gregory@Wavez-zing.bs,Wavez-zing,ALIANCA,Marine Superintendent
438,Alexander,Farrell,Bulgaria,Varna,a.farrell@Freighterzz.bg,Freighterzz,HANJIN-SHIPPING-CO-LTD,Port Engineer
391,Brian,Ortiz,Guadeloupe,Port Louis,b.ortiz@Wavez-zing.gp,Wavez-zing,ZIM Integrated Shipping Services Ltd,Dockworker
46,Michael,Johnson,Georgia,Supsa Marine Terminal,m.johnson@Freighterzz.ge,Freighterzz,HORIZON-LINES,Stevedore
898,Christina,Mercado,France,Villefranche,c.mercado@Freighterzz.fr,Freighterzz,ALIANCA,Marine Pilot
899,Andrea,Burton,Portugal,Vila Real De S Antonio,a.burton@Spt-septum.pt,Spt-septum,AMERICAN-PRESIDENT-LINES,Longshoreman
473,Michele,Daniels,Netherlands,Zaandam,m.daniels@Wavez-zing.nl,Wavez-zing,Hapag Lloyd Container Line ,Longshoreman
253,Chelsea,Hicks,Guernsey,Saint Sampson,c.hicks@Wavez-zing.gg,Wavez-zing,Hoegh-Autoliners,Marine Pilot
979,Warren,Oconnor,Faroe Islands,Vestmanna,w.oconnor@Spt-septum.fo,Spt-septum,EVERGREEN-LINE,Stevedore
816,Bobby,Parker,Svalbard,Ny Alesund,b.parker@Freighterzz.sj,Freighterzz,ATLANTIC-CONTAINER-LINE,Port Engineer
314,Johnny,Hubbard,Turks and Caicos Islands,Providenciales,j.hubbard@Freighterzz.tc,Freighterzz,GREAT-WHITE-FLEET,Marine Superintendent
259,Melissa,Moore,Denmark,Vordingborg,m.moore@Freighterzz.dk,Freighterzz,ATLANTIC-CONTAINER-LINE,Dockworker
972,Michelle,Barnett,Romania,Tulcea,m.barnett@Freighterzz.ro,Freighterzz,"Hyundai Merchant Marine Co., Ltd.",Marine Pilot
14,Zoe,Buchanan,Guadeloupe,Port Louis,z.buchanan@Spt-septum.gp,Spt-septum,GRIEG-STAR-SHIPPING,Harbor Master
197,Stephanie,Conrad,Netherlands,Zaandam,s.conrad@Freighterzz.nl,Freighterzz,NSLI,Port Engineer
460,Laurie,Curtis,Puerto Rico,San Juan,l.curtis@Spt-septum.pr,Spt-septum,"Hyundai Merchant Marine Co., Ltd.",Stevedore
25,Pamela,Wells,Russia,Zarubino,p.wells@Freighterzz.ru,Freighterzz,Korea Marine Transport Co. Ltd.,Port Engineer
283,Brian,Parker,Turks and Caicos Islands,Providenciales,b.parker@Spt-septum.tc,Spt-septum,"Hyundai Merchant Marine Co., Ltd.",Dockworker
928,Charles,Adams,Croatia,Zaliv Rasa,c.adams@Spt-septum.hr,Spt-septum,GREAT-WHITE-FLEET,Harbor Master
691,Donald,Andrews,Haiti,Port Au Prince,d.andrews@Freighterzz.ht,Freighterzz,The-Shipping-Corporation-of-India-Ltd,Port Engineer
522,Luis,Banks,Morocco,Tangier-Mediterranean,l.banks@Spt-septum.ma,Spt-septum,HYDE-SHIPPING,Dockworker
492,David,Davidson,Guernsey,Saint Sampson,d.davidson@Freighterzz.gg,Freighterzz,COSCO-Container-Lines,Marine Pilot
225,Annette,Compton,Turkey,Zonguldak,a.compton@Wavez-zing.tr,Wavez-zing,Hafiz-Darya-Shipping-Lines,Dockworker
